CLIENTEID,CODMARCA,DESCDISTRI,DESCDIMES
07280,100,14.0,0.0
07248,105,14.0,12.0
07280,110,12.0,0.0
07248,104,14.0,12.0
07248,099,14.0,12.0
07248,100,14.0,12.0
05476,017,9.0,14.0
07280,111,12.0,0.0
07280,049,12.0,0.0
07106,053,12.0,10.0
02364,105,14.0,12.0
02364,109,12.0,15.0
02364,098,12.0,15.0
02364,104,14.0,12.0
02364,099,14.0,12.0
02364,100,14.0,12.0
05964,002,10.0,14.0
04419,002,10.0,14.0
04419,105,14.0,12.0
04419,109,12.0,15.0
04419,098,12.0,15.0
04419,104,14.0,12.0
04419,099,14.0,12.0
04419,100,14.0,12.0
04419,053,12.0,8.0
03183,109,12.0,15.0
03183,098,12.0,15.0
03183,099,14.0,12.0
00187,002,12.0,14.0
03183,100,14.0,12.0
00188,002,12.0,14.0
04668,053,12.0,10.0
00189,002,12.0,14.0
00192,002,12.0,14.0
00201,002,12.0,14.0
00204,002,12.0,14.0
00205,002,12.0,14.0
00211,002,12.0,14.0
00212,002,12.0,14.0
07261,105,14.0,15.0
07261,109,12.0,15.0
02526,002,12.0,14.0
06860,100,14.0,12.0
00213,002,12.0,14.0
05476,053,12.0,9.0
07261,104,14.0,12.0
02527,002,12.0,14.0
00214,002,12.0,14.0
00216,002,12.0,14.0
00218,002,12.0,14.0
00220,002,12.0,14.0
00221,002,12.0,14.0
03464,019,8.0,12.0
00224,002,12.0,14.0
00225,002,12.0,14.0
00226,002,12.0,14.0
00227,002,12.0,14.0
00230,002,12.0,14.0
00232,002,12.0,14.0
00235,002,12.0,14.0
00236,002,12.0,14.0
07125,005,16.39,0.0
07125,019,16.55,0.0
00237,002,12.0,14.0
07125,029,19.17,0.0
07125,081,25.74,0.0
07125,078,21.91,0.0
07125,042,11.1,0.0
07125,107,6.67,0.0
00239,002,12.0,14.0
00240,002,12.0,14.0
00241,002,12.0,14.0
07261,110,12.0,15.0
00242,002,12.0,14.0
00243,002,12.0,14.0
